factor,sample_split,gold_regime,forward_horizon,percentile_bucket,count,avg_forward_return,median_forward_return,win_rate,max_drawdown_after_signal
mm_net_percentile_156w,all,all,8W,90-100 percentile,110,0.021909534437595767,0.019214099298079934,0.6363636363636364,-0.11727902345840291
producer_net_percentile_156w,all,all,1W,0-10 percentile,81,-0.0006781016581886122,-0.0019488611299880443,0.4691358024691358,-0.06468940995295891
producer_net_percentile_156w,all,all,1W,10-20 percentile,62,0.0034961912262164844,0.0052882240355695,0.6129032258064516,-0.048254193694034275
producer_net_percentile_156w,all,all,1W,20-30 percentile,56,0.004207735931424715,0.006600459004444836,0.5535714285714286,-0.05071641191914644
producer_net_percentile_156w,all,all,1W,30-40 percentile,75,0.004445805954312692,0.003960988324271275,0.6266666666666667,-0.050155319931290854
producer_net_percentile_156w,all,all,1W,40-50 percentile,69,0.0005265414930590368,0.003012317228141548,0.5942028985507246,-0.08635005098425519
producer_net_percentile_156w,all,all,1W,50-60 percentile,67,0.004506034592784474,0.005152884810619707,0.582089552238806,-0.050276545080313984
producer_net_percentile_156w,all,all,1W,60-70 percentile,87,0.0030000209154143697,0.0026987948158914143,0.5632183908045977,-0.05470318951103592
producer_net_percentile_156w,all,all,1W,70-80 percentile,58,0.0011458192011324518,0.0011172023017411714,0.5172413793103449,-0.042167673859193844
producer_net_percentile_156w,all,all,1W,80-90 percentile,95,0.0010161156309987953,0.0020992425868009423,0.5894736842105263,-0.04491460574242323
producer_net_percentile_156w,all,all,1W,90-100 percentile,172,5.4975218185188004e-05,-0.0005370361554805081,0.4941860465116279,-0.12570918451764834
producer_net_percentile_156w,all,all,2W,0-10 percentile,81,0.0007249771612009591,-0.0004535938348887436,0.48148148148148145,-0.06468940995295891
producer_net_percentile_156w,all,all,2W,10-20 percentile,62,0.004175330460135392,0.0031435878218017965,0.5967741935483871,-0.06736381073620279
producer_net_percentile_156w,all,all,2W,20-30 percentile,56,0.006637830748332151,0.006903073606225996,0.5714285714285714,-0.0808871997749745
producer_net_percentile_156w,all,all,2W,30-40 percentile,75,0.012615654449995727,0.007672865363574477,0.6266666666666667,-0.05349203288269
producer_net_percentile_156w,all,all,2W,40-50 percentile,69,0.00150737446886042,0.003943704293066119,0.5362318840579711,-0.1062216467438084
producer_net_percentile_156w,all,all,2W,50-60 percentile,67,0.007085919252199387,0.004490244675524613,0.6268656716417911,-0.06682651925334737
producer_net_percentile_156w,all,all,2W,60-70 percentile,87,0.004967163230315801,0.0013167597346188664,0.5287356321839081,-0.0585265554840122
producer_net_percentile_156w,all,all,2W,70-80 percentile,58,0.004077140097775874,0.002890369077595323,0.5517241379310345,-0.06125140330543344
producer_net_percentile_156w,all,all,2W,80-90 percentile,95,0.002177048694191275,-0.0005454731908584032,0.49473684210526314,-0.06312806488907452
producer_net_percentile_156w,all,all,2W,90-100 percentile,171,-0.0006775443836077249,0.0011856900315538876,0.5087719298245614,-0.15878546754349454
producer_net_percentile_156w,all,all,4W,0-10 percentile,81,0.0027535638420901933,0.0035731299926673454,0.5185185185185185,-0.07851149906442356
producer_net_percentile_156w,all,all,4W,10-20 percentile,62,0.0097909323338161,0.01090192068342255,0.6129032258064516,-0.13647792390513236
producer_net_percentile_156w,all,all,4W,20-30 percentile,56,0.00685863314846281,0.0005457971850679755,0.5,-0.0808871997749745
producer_net_percentile_156w,all,all,4W,30-40 percentile,75,0.019755010003370925,0.019618522365159485,0.6266666666666667,-0.11727902345840291
producer_net_percentile_156w,all,all,4W,40-50 percentile,69,0.008752298836178991,0.0039972243823278575,0.5652173913043478,-0.11610471424735846
producer_net_percentile_156w,all,all,4W,50-60 percentile,67,0.015503764672589708,0.0038924961912021327,0.582089552238806,-0.07050355809102715
producer_net_percentile_156w,all,all,4W,60-70 percentile,87,0.007731957567739671,0.007659606407292241,0.5747126436781609,-0.07737720432495843
producer_net_percentile_156w,all,all,4W,70-80 percentile,58,0.00803383113012579,0.007003954631444098,0.5862068965517241,-0.073624454142869
producer_net_percentile_156w,all,all,4W,80-90 percentile,95,0.006578833012327714,0.0027070462848199917,0.5263157894736842,-0.07716319545461392
producer_net_percentile_156w,all,all,4W,90-100 percentile,169,-0.0008934011074835763,0.0020117555859702207,0.514792899408284,-0.15878546754349454
producer_net_percentile_156w,all,all,8W,0-10 percentile,81,0.009590416868809775,0.0044181700660455014,0.5061728395061729,-0.08665813583104709
producer_net_percentile_156w,all,all,8W,10-20 percentile,62,0.012565476059048545,0.012966841847563693,0.6129032258064516,-0.13647792390513236
producer_net_percentile_156w,all,all,8W,20-30 percentile,56,0.02804059712295424,0.01861267069632988,0.6071428571428571,-0.1204135739072435
producer_net_percentile_156w,all,all,8W,30-40 percentile,75,0.025357487689899167,0.02613448804414986,0.56,-0.13647792390513236
producer_net_percentile_156w,all,all,8W,40-50 percentile,69,0.01802320623455912,0.008137172552748817,0.5652173913043478,-0.11610471424735846
producer_net_percentile_156w,all,all,8W,50-60 percentile,67,0.028506817044891854,0.020974926761439194,0.582089552238806,-0.10164593324429205
producer_net_percentile_156w,all,all,8W,60-70 percentile,87,0.019491353700353407,0.02590734813142115,0.5517241379310345,-0.15878546754349454
producer_net_percentile_156w,all,all,8W,70-80 percentile,58,0.007423039474620296,-0.003888759540678688,0.4482758620689655,-0.07803865236007446
producer_net_percentile_156w,all,all,8W,80-90 percentile,95,0.014472392677804759,0.007852665246214308,0.5684210526315789,-0.10414806770093099
producer_net_percentile_156w,all,all,8W,90-100 percentile,165,0.000869462758665426,-0.0029239766081871066,0.4909090909090909,-0.15878546754349454
swap_net_percentile_156w,all,all,1W,0-10 percentile,150,0.002449689054297352,0.0035621488342943985,0.56,-0.05622979951011842
swap_net_percentile_156w,all,all,1W,10-20 percentile,74,0.0012142302517033031,-0.001341219853094766,0.47297297297297297,-0.0808871997749745
swap_net_percentile_156w,all,all,1W,20-30 percentile,72,0.0022302607788348616,0.006010277474657322,0.5694444444444444,-0.05119879076312228
swap_net_percentile_156w,all,all,1W,30-40 percentile,68,-0.001956178673747417,0.0020551897000578023,0.5441176470588235,-0.12570918451764834
swap_net_percentile_156w,all,all,1W,40-50 percentile,53,0.004497817280824418,0.005890511578737101,0.6037735849056604,-0.050276545080313984
swap_net_percentile_156w,all,all,1W,50-60 percentile,90,-0.0012794510569125112,-0.0009880402645277009,0.4777777777777778,-0.12031597586732656
swap_net_percentile_156w,all,all,1W,60-70 percentile,79,0.004714422401433754,0.0018703320627813103,0.5949367088607594,-0.027354871669572733
swap_net_percentile_156w,all,all,1W,70-80 percentile,56,0.0014275190861585527,0.005226287892104109,0.5892857142857143,-0.06717395609381072
swap_net_percentile_156w,all,all,1W,80-90 percentile,67,0.0010730530697851805,0.0011025966001880771,0.5074626865671642,-0.03988636489914599
swap_net_percentile_156w,all,all,1W,90-100 percentile,113,0.0032762325571259326,0.0025120497294532917,0.6017699115044248,-0.08635005098425519
swap_net_percentile_156w,all,all,2W,0-10 percentile,150,0.0036763971235496736,0.0015564620409653784,0.5266666666666666,-0.0808871997749745
swap_net_percentile_156w,all,all,2W,10-20 percentile,74,0.002930172933259759,0.0003275879362982792,0.5135135135135135,-0.0808871997749745
swap_net_percentile_156w,all,all,2W,20-30 percentile,72,0.008378828687160129,0.007186105869216752,0.5555555555555556,-0.07259206798866857
swap_net_percentile_156w,all,all,2W,30-40 percentile,68,-0.002617711259108543,-0.0011347884138040443,0.47058823529411764,-0.12570918451764834
swap_net_percentile_156w,all,all,2W,40-50 percentile,53,0.003065436567771216,0.0,0.49056603773584906,-0.12570918451764834
swap_net_percentile_156w,all,all,2W,50-60 percentile,90,0.0009775385172292965,0.004165421100336575,0.5555555555555556,-0.15878546754349454
swap_net_percentile_156w,all,all,2W,60-70 percentile,78,0.006663996777805958,0.00679175408343291,0.6025641025641025,-0.050155319931290854
swap_net_percentile_156w,all,all,2W,70-80 percentile,56,-0.0007681386402640576,0.0029714076859679306,0.5178571428571429,-0.09000439206598332
swap_net_percentile_156w,all,all,2W,80-90 percentile,67,0.005660407332467189,0.0004961819295157266,0.5074626865671642,-0.06468940995295891
swap_net_percentile_156w,all,all,2W,90-100 percentile,113,0.005962787516537113,0.006242251133369292,0.6283185840707964,-0.1062216467438084
swap_net_percentile_156w,all,all,4W,0-10 percentile,150,0.006363065969163004,0.004367663729117788,0.5533333333333333,-0.0808871997749745
swap_net_percentile_156w,all,all,4W,10-20 percentile,74,0.008939571369269966,0.0037093534180198118,0.5540540540540541,-0.0830846920054108
swap_net_percentile_156w,all,all,4W,20-30 percentile,72,0.014735848616522619,0.009209726480305824,0.5555555555555556,-0.0892351274787535
swap_net_percentile_156w,all,all,4W,30-40 percentile,68,-0.0020105061193434323,-0.0064244545591107816,0.45588235294117646,-0.13932848829941735
swap_net_percentile_156w,all,all,4W,40-50 percentile,52,0.0071611488300956415,0.002431310662294184,0.5192307692307693,-0.12570918451764834
swap_net_percentile_156w,all,all,4W,50-60 percentile,90,0.0022760207178969144,0.00135583107253745,0.5222222222222223,-0.15878546754349454
swap_net_percentile_156w,all,all,4W,60-70 percentile,77,0.0045529662762465355,0.0012306177701206789,0.5324675324675324,-0.10987044784366473
swap_net_percentile_156w,all,all,4W,70-80 percentile,56,0.008128054338225544,-0.00045108516102454477,0.5,-0.09687728715618193
swap_net_percentile_156w,all,all,4W,80-90 percentile,67,0.01155676033399582,0.004625518437910703,0.582089552238806,-0.07851149906442356
swap_net_percentile_156w,all,all,4W,90-100 percentile,113,0.011093491547255082,0.016401927427676766,0.6814159292035398,-0.13647792390513236
swap_net_percentile_156w,all,all,8W,0-10 percentile,150,0.014973177240797098,0.013718332885928275,0.56,-0.11273366392236395
swap_net_percentile_156w,all,all,8W,10-20 percentile,74,0.014831133197922538,0.008893264459163053,0.5135135135135135,-0.1204135739072435
swap_net_percentile_156w,all,all,8W,20-30 percentile,72,0.03166902607148506,0.017225611536074048,0.5833333333333334,-0.10389974526436185
swap_net_percentile_156w,all,all,8W,30-40 percentile,68,0.004543119932534108,-0.0024721483592882176,0.4852941176470588,-0.15878546754349454
swap_net_percentile_156w,all,all,8W,40-50 percentile,52,0.0027081701016979653,-0.004408144042197859,0.46153846153846156,-0.13138312240508232
swap_net_percentile_156w,all,all,8W,50-60 percentile,88,0.009083500233412242,0.004657981878354311,0.5454545454545454,-0.15878546754349454
swap_net_percentile_156w,all,all,8W,60-70 percentile,75,0.0027260747579146843,-0.008333313189717417,0.44,-0.15878546754349454
swap_net_percentile_156w,all,all,8W,70-80 percentile,56,0.011677467818952878,0.0032150511399761106,0.5535714285714286,-0.14140658076298185
swap_net_percentile_156w,all,all,8W,80-90 percentile,67,0.01178580972889118,0.012810058736068441,0.5373134328358209,-0.13647792390513236
swap_net_percentile_156w,all,all,8W,90-100 percentile,113,0.029250890205225335,0.023757757933778656,0.6460176991150443,-0.13647792390513236
oi_percentile_156w,all,all,1W,0-10 percentile,151,0.0003189507643931341,0.0011025966001880771,0.5165562913907285,-0.12570918451764834
oi_percentile_156w,all,all,1W,10-20 percentile,66,0.005904036322876774,0.00781845872849174,0.6515151515151515,-0.04462030767173264
oi_percentile_156w,all,all,1W,20-30 percentile,74,-0.000669704463197148,0.002550266241878485,0.5675675675675675,-0.08635005098425519
oi_percentile_156w,all,all,1W,30-40 percentile,90,0.0025890396243196867,0.0014145122118099929,0.5222222222222223,-0.04491460574242323
oi_percentile_156w,all,all,1W,40-50 percentile,75,0.0025233947949550414,0.0022638327766633104,0.56,-0.035025736266326324
oi_percentile_156w,all,all,1W,50-60 percentile,54,0.004112350069664674,0.004043371098251924,0.6111111111111112,-0.050276545080313984
oi_percentile_156w,all,all,1W,60-70 percentile,79,-0.0020422984597546555,-0.00023902558468402724,0.4810126582278481,-0.048254193694034275
oi_percentile_156w,all,all,1W,70-80 percentile,73,0.003637147864678863,0.0017559296458082851,0.5342465753424658,-0.05622979951011842
oi_percentile_156w,all,all,1W,80-90 percentile,62,0.003586443561712952,0.0061745142109421725,0.5806451612903226,-0.0808871997749745
oi_percentile_156w,all,all,1W,90-100 percentile,98,0.001463810084759266,0.0024734468423323053,0.5714285714285714,-0.05071641191914644
oi_percentile_156w,all,all,2W,0-10 percentile,150,0.0008507629383947439,0.0043220053510898415,0.52,-0.15878546754349454
oi_percentile_156w,all,all,2W,10-20 percentile,66,0.010115959412346215,0.009489110096645548,0.6515151515151515,-0.06468940995295891
oi_percentile_156w,all,all,2W,20-30 percentile,74,0.004226336947621675,0.003284888824598542,0.5540540540540541,-0.1062216467438084
oi_percentile_156w,all,all,2W,30-40 percentile,90,0.0019465476475877006,-2.9327946105717206e-05,0.5,-0.06125140330543344
oi_percentile_156w,all,all,2W,40-50 percentile,75,0.0014182973523474344,0.00023470101404154953,0.5066666666666667,-0.09645285117833136
oi_percentile_156w,all,all,2W,50-60 percentile,54,0.006589450225612755,0.0031405587431455606,0.5740740740740741,-0.05401879676324972
oi_percentile_156w,all,all,2W,60-70 percentile,79,0.004137801699739409,0.003754952005700085,0.5316455696202531,-0.05622979951011842
oi_percentile_156w,all,all,2W,70-80 percentile,73,0.004174794135814647,0.0013167597346188664,0.547945205479452,-0.05797099093690261
oi_percentile_156w,all,all,2W,80-90 percentile,62,0.007409648299532025,0.006422844785055393,0.5967741935483871,-0.0808871997749745
oi_percentile_156w,all,all,2W,90-100 percentile,98,0.0014017901713819622,0.0015564620409653784,0.5204081632653061,-0.0808871997749745
oi_percentile_156w,all,all,4W,0-10 percentile,148,0.003841838336753883,0.003405884184948138,0.5472972972972973,-0.15878546754349454
oi_percentile_156w,all,all,4W,10-20 percentile,66,0.011290096601478342,0.010860699463258405,0.5909090909090909,-0.13096878907447018
oi_percentile_156w,all,all,4W,20-30 percentile,74,0.014056045532321476,0.011627467605202724,0.6081081081081081,-0.1062216467438084
oi_percentile_156w,all,all,4W,30-40 percentile,90,0.00023512669416755338,0.0037543941075564025,0.5333333333333333,-0.13932848829941735
oi_percentile_156w,all,all,4W,40-50 percentile,75,0.0034163386579500665,-0.00608321441598636,0.41333333333333333,-0.11610471424735846
oi_percentile_156w,all,all,4W,50-60 percentile,54,0.011397151702866473,0.003759501562356493,0.5370370370370371,-0.13647792390513236
oi_percentile_156w,all,all,4W,60-70 percentile,79,0.01053527838938919,0.0038924961912021327,0.5569620253164557,-0.07030730860202183
oi_percentile_156w,all,all,4W,70-80 percentile,73,0.009322568839193648,0.006215131665364915,0.5753424657534246,-0.06703511627629144
oi_percentile_156w,all,all,4W,80-90 percentile,62,0.008588649882282046,0.005219988378293849,0.5483870967741935,-0.0830846920054108
oi_percentile_156w,all,all,4W,90-100 percentile,98,0.006724936477042128,0.004985694712360322,0.6224489795918368,-0.09278442175562396
oi_percentile_156w,all,all,8W,0-10 percentile,144,0.007915723501884235,-0.0038653585787080114,0.4930555555555556,-0.15878546754349454
oi_percentile_156w,all,all,8W,10-20 percentile,66,0.02364502767339467,0.023990700838601664,0.6515151515151515,-0.13660859338868192
oi_percentile_156w,all,all,8W,20-30 percentile,74,0.029001985850824356,0.009294497942698987,0.5405405405405406,-0.14140658076298185
oi_percentile_156w,all,all,8W,30-40 percentile,90,0.01194945537587399,0.001528804668216699,0.5111111111111111,-0.14175294990618525
oi_percentile_156w,all,all,8W,40-50 percentile,75,0.011168008595030256,0.0020052659139677687,0.5066666666666667,-0.13647792390513236
oi_percentile_156w,all,all,8W,50-60 percentile,54,0.018831304487666012,0.018229157119326267,0.6481481481481481,-0.13647792390513236
oi_percentile_156w,all,all,8W,60-70 percentile,79,0.006557371368137626,-0.008907772894159671,0.43037974683544306,-0.15878546754349454
oi_percentile_156w,all,all,8W,70-80 percentile,73,0.022115274088453502,0.013354649387181672,0.6027397260273972,-0.11273366392236395
oi_percentile_156w,all,all,8W,80-90 percentile,62,0.004733975345609924,0.004735317355448965,0.5645161290322581,-0.1204135739072435
oi_percentile_156w,all,all,8W,90-100 percentile,98,0.016568062637252183,0.019749970848658704,0.5714285714285714,-0.09770795890147499
